Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Application Date,Approval_Date,Confirmation_Date
LP001002,Male,No,0,Graduate,No,5849,0,,360,26-Jun-19,12-Jul-19,22-Jul-19
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,29-Jun-19,15-Jul-19,23-Jul-19
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,02-Jul-19,22-Jul-19,29-Jul-19
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,12-Jul-19,31-Jul-19,07-Aug-19
LP001008,Male,No,0,Graduate,No,621000,0,140,360,21-Jul-19,17-Aug-19,25-Aug-19
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,28-Jul-19,08-Aug-19,18-Aug-19
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,30-Aug-19,03-Sep-19,15-Sep-19
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,01-Dec-19,20-Dec-19,29-Dec-19
LP001018,Male,Yes,2,Graduate,No,4006,1526,1608000,360,29-Dec-19,11-Jan-20,25-Jan-20
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,30-Dec-19,13-Jan-20,19-Jan-20
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,03-Jan-20,30-Jan-20,12-Feb-20
